sample,parameter,value
04-23455,particle density,1.0897000000000001
04-23455,bulk density,27.5
04-23610,bulk density,30.0
04-23610,particle density,1.1129
04-23611,particle density,1.1136
04-23611,bulk density,28.0
04-23612,particle density,1.1137000000000001
04-23612,bulk density,30.0
04-23613,particle density,1.1141
04-23613,bulk density,30.0
04-23614,particle density,1.1141
04-23614,bulk density,29.0
04-23615,particle density,1.1138
04-23615,bulk density,29.0
04-23616,bulk density,29.0
04-23616,particle density,1.1137000000000001
04-23617,particle density,1.1138
04-23617,bulk density,28.0
04-23618,bulk density,28.0
04-23618,particle density,1.1131
04-23619,particle density,1.113
04-23619,bulk density,29.0
04-24060,bulk density,29.0
04-24060,particle density,1.0941999999999998
04-24625,particle density,1.1026
04-24625,bulk density,37.0
04-24999,bulk density,28.7
04-24999,particle density,1.0894
04-25000,particle density,1.0880999999999998
04-25000,bulk density,30.0
05-00156,particle density,1.0956000000000001
05-00156,bulk density,27.0
05-00388,particle density,1.0729
05-00388,bulk density,24.0
05-00389,particle density,1.0735999999999999
05-00389,bulk density,25.0
05-00390,bulk density,25.0
05-00390,particle density,1.0737999999999999
05-00391,particle density,1.0768
05-00391,bulk density,26.0
05-01185,particle density,1.1082
05-01185,bulk density,41.0
05-01186,bulk density,41.0
05-01186,particle density,1.1078000000000001
05-02088,particle density,1.095
05-02088,bulk density,40.0
05-04058,bulk density,34.0
05-04058,particle density,1.0798
05-04059,bulk density,33.0
05-04059,particle density,1.0819999999999999
05-04061,bulk density,33.0
05-04061,particle density,1.083
05-04062,bulk density,33.0
05-04062,particle density,1.0834000000000001
05-04063,particle density,1.0845
05-04063,bulk density,33.0
05-04338,bulk density,29.0
05-04338,particle density,1.0953
05-04339,particle density,1.0937000000000001
05-04339,bulk density,27.0
05-04340,particle density,1.0936
05-04340,bulk density,27.0
05-05442,particle density,1.1014
05-05442,bulk density,39.0
05-05443,particle density,1.1003
05-05443,bulk density,40.0
05-05444,particle density,1.1103
05-05444,bulk density,41.0
05-05445,bulk density,42.0
05-05445,particle density,1.0987
05-05446,bulk density,40.0
05-05446,particle density,1.0867
05-05675,bulk density,26.2
05-05675,particle density,1.0946
05-05816,particle density,1.0904
05-05816,bulk density,26.0
05-05920,bulk density,41.0
05-05920,particle density,1.0981999999999998
05-05921,particle density,1.0981
05-05921,bulk density,41.0
05-05927,bulk density,39.0
05-05927,particle density,1.0819999999999999
05-05928,particle density,1.0819999999999999
05-05928,bulk density,38.0
05-05956,bulk density,33.0
05-05956,particle density,1.0836000000000001
05-05958,particle density,1.0838999999999999
05-05958,bulk density,35.0
05-05960,particle density,1.0838
05-05960,bulk density,33.0
05-05962,particle density,1.0836000000000001
05-05962,bulk density,33.0
05-05964,particle density,1.0836999999999999
05-05964,bulk density,33.0
05-06075,bulk density,37.0
05-06075,particle density,1.0836000000000001
05-06076,bulk density,36.0
05-06076,particle density,1.083
05-06077,particle density,1.0844
05-06077,bulk density,37.0
05-06078,bulk density,39.0
05-06078,particle density,1.0824
05-06079,bulk density,39.0
05-06079,particle density,1.0823
05-06080,particle density,1.0836000000000001
05-06080,bulk density,39.0
05-06081,bulk density,38.0
05-06081,particle density,1.0831
05-06082,particle density,1.0829
05-06082,bulk density,37.0
05-07105,particle density,1.0939999999999999
05-07105,bulk density,40.0
05-07298,bulk density,42.0
05-07298,particle density,1.0984
05-07299,particle density,1.0802
05-07299,bulk density,39.0
05-08310,particle density,1.1106
05-08310,bulk density,27.0
05-08311,particle density,1.1112
05-08311,bulk density,28.0
05-08315,bulk density,29.0
05-08315,particle density,1.1122
05-09364,bulk density,41.0
05-09364,particle density,1.1057000000000001
05-09365,particle density,1.1059
05-09365,bulk density,42.0
05-09543,particle density,1.0885
05-09543,bulk density,26.0
05-10694,bulk density,28.0
05-10694,particle density,1.1109
05-11337,bulk density,28.0
05-11337,particle density,1.0709
05-11338,particle density,1.0706
05-11338,bulk density,29.0
05-11339,particle density,1.0713
05-11339,bulk density,28.0
05-11340,particle density,1.0707
05-11340,bulk density,29.0
05-11341,bulk density,28.0
05-11341,particle density,1.0714000000000001
05-11342,bulk density,28.0
05-11342,particle density,1.0711
05-11343,particle density,1.0718
05-11343,bulk density,29.0
05-11344,particle density,1.0716999999999999
05-11344,bulk density,29.0
05-11345,bulk density,29.0
05-11345,particle density,1.0715
05-11346,particle density,1.0716999999999999
05-11346,bulk density,28.0
05-11347,bulk density,28.0
05-11347,particle density,1.0716999999999999
05-11348,particle density,1.0715
05-11348,bulk density,28.0
05-11349,bulk density,28.0
05-11349,particle density,1.0709
05-12851,particle density,1.1
05-12851,bulk density,25.6
05-12867,bulk density,28.0
05-12867,particle density,1.0949
05-12868,bulk density,24.0
05-12868,particle density,1.0952
05-12869,bulk density,25.0
05-12869,particle density,1.0958999999999999
05-12870,bulk density,24.0
05-12870,particle density,1.0957
05-12871,bulk density,25.0
05-12871,particle density,1.0953
05-12872,particle density,1.0956000000000001
05-12872,bulk density,24.0
05-14295,bulk density,29.3
05-14295,particle density,1.0912
05-14534,particle density,1.1072
05-14534,bulk density,41.0
05-14535,particle density,1.1101
05-14535,bulk density,40.0
05-14536,bulk density,41.0
05-14536,particle density,1.1101
05-15501,bulk density,33.0
05-15501,particle density,1.0968
05-15637,bulk density,32.5
05-15637,particle density,1.0958
05-15638,particle density,1.0931
05-15638,bulk density,33.0
05-15639,particle density,1.0939
05-15639,bulk density,36.0
05-15640,particle density,1.0933000000000002
05-15640,bulk density,33.0
05-15641,bulk density,32.5
05-15641,particle density,1.0966
05-15642,bulk density,31.0
05-15642,particle density,1.0966
05-15643,particle density,1.0962
05-15643,bulk density,31.8
05-15644,bulk density,33.7
05-15644,particle density,1.0953
05-16416,particle density,1.0684
05-16416,bulk density,32.0
05-16417,bulk density,31.0
05-16417,particle density,1.0689
05-16418,bulk density,31.0
05-16418,particle density,1.0693000000000001
05-16419,bulk density,32.0
05-16419,particle density,1.069
05-16420,particle density,1.0687
05-16420,bulk density,32.0
05-16421,bulk density,31.0
05-16421,particle density,1.069
05-16422,particle density,1.0684
05-16422,bulk density,31.0
05-16423,bulk density,32.0
05-16423,particle density,1.0688
05-16424,bulk density,31.0
05-16424,particle density,1.0713
05-16426,bulk density,31.0
05-16426,particle density,1.0713
05-16508,particle density,1.1139999999999999
05-16508,bulk density,30.0
05-16509,particle density,1.1141999999999999
05-16509,bulk density,29.0
05-16510,bulk density,28.0
05-16510,particle density,1.1139999999999999
05-16511,bulk density,29.0
05-16511,particle density,1.1139999999999999
05-16512,bulk density,28.0
05-16512,particle density,1.1141
05-17541,particle density,1.0998999999999999
05-17541,bulk density,42.0
05-17695,bulk density,29.0
05-17695,particle density,1.0937000000000001
05-17696,bulk density,32.5
05-17696,particle density,1.0918999999999999
05-17697,particle density,1.0923
05-17697,bulk density,33.0
05-17698,particle density,1.0924
05-17698,bulk density,28.0
05-17699,bulk density,27.0
05-17699,particle density,1.0933000000000002
05-17700,particle density,1.0932
05-17700,bulk density,27.0
05-17701,particle density,1.0829
05-17701,bulk density,31.0
05-18867,particle density,1.093
05-18867,bulk density,33.09
