sample,parameter,value
12-16082,particle density,1.0873
12-16185,particle density,1.0692
12-16185,bulk density,37.2
12-16186,bulk density,36.9
12-16186,particle density,1.0686
12-16834,particle density,1.075
12-16834,bulk density,27.47
12-17131,particle density,1.0872000000000002
12-17131,bulk density,40.74
12-17132,particle density,1.0877
12-17132,bulk density,40.89
12-17133,particle density,1.0883
12-17133,bulk density,40.74
12-17144,bulk density,38.71
12-17144,particle density,1.0688
12-17145,bulk density,39.02
12-17145,particle density,1.0686
12-17146,particle density,1.0706
12-17146,bulk density,38.4
12-17147,particle density,1.0708
12-17147,bulk density,38.0
12-17148,particle density,1.0764
12-17148,bulk density,39.65
12-17153,bulk density,40.58
12-17153,particle density,1.105
12-17156,particle density,1.0741
12-17156,bulk density,36.84
13-01034,bulk density,41.0
13-01034,particle density,1.0877
13-01035,particle density,1.087
13-01035,bulk density,41.0
13-01326,bulk density,43.1
13-01326,particle density,1.1181
13-01327,bulk density,42.9
13-01327,particle density,1.1183999999999998
13-01328,particle density,1.1186
13-01328,bulk density,42.9
13-01589,bulk density,37.78
13-01589,particle density,1.0718
13-01593,particle density,1.0713
13-01593,bulk density,37.62
13-02310,particle density,1.0739999999999998
13-02310,bulk density,38.4
13-02311,particle density,1.069
13-02311,bulk density,37.1
13-02312,particle density,1.0744
13-02312,bulk density,40.3
13-02424,particle density,1.0689
13-02424,bulk density,38.4
13-02425,bulk density,38.6
13-02425,particle density,1.0692
13-02434,particle density,1.0695999999999999
13-02434,bulk density,38.71
13-03276,particle density,1.1186
13-03276,bulk density,42.8
13-03277,bulk density,42.4
13-03277,particle density,1.1185
13-03278,bulk density,42.6
13-03278,particle density,1.1186
13-03904,particle density,1.1040999999999999
13-03904,bulk density,38.6
13-06785,bulk density,38.6
13-06785,particle density,1.0735999999999999
13-06786,bulk density,37.21
13-06786,particle density,1.0737999999999999
13-06787,bulk density,40.91
13-06787,particle density,1.0697
13-07363,particle density,1.1188
13-07363,bulk density,43.16
13-08575,bulk density,21.7
13-08575,particle density,1.0723
13-08930,particle density,1.1205
13-08930,bulk density,43.61
13-10451,bulk density,31.99
13-10451,particle density,1.0678999999999998
13-12094,particle density,1.0905
13-12094,bulk density,27.6
13-12095,particle density,1.0907
13-12095,bulk density,29.1
13-13346,particle density,1.0741
13-13346,bulk density,38.5
13-13347,bulk density,37.7
13-13347,particle density,1.0702
13-13348,bulk density,39.3
13-13348,particle density,1.0743
13-14369,bulk density,40.8
13-14369,particle density,1.0849
13-14810,bulk density,42.7
13-14810,particle density,1.1152
13-14811,particle density,1.1154
13-14811,bulk density,42.7
13-15275,particle density,1.1033
13-15275,bulk density,42.6
13-15333,particle density,1.1099999999999999
13-15333,bulk density,30.28
13-15883,particle density,1.071
13-15883,bulk density,28.8
13-15884,bulk density,29.5
13-15884,particle density,1.0694
13-16113,particle density,1.1156000000000001
13-16113,bulk density,42.7
13-16114,particle density,1.1033
13-16114,bulk density,42.3
13-16163,bulk density,31.0
13-16163,particle density,1.0704
14-00243,particle density,1.1047
14-00243,bulk density,42.19
14-00244,bulk density,42.29
14-00244,particle density,1.1165
14-00245,particle density,1.1162999999999998
14-00245,bulk density,42.58
14-00246,bulk density,42.88
14-00246,particle density,1.1168
14-00247,particle density,1.1157
14-00247,bulk density,42.65
14-00248,particle density,1.1049
14-00248,bulk density,41.99
14-00928,particle density,1.0737999999999999
14-00928,bulk density,36.7
14-00929,bulk density,36.8
14-00929,particle density,1.0697999999999999
14-00930,particle density,1.0732
14-00930,bulk density,39.9
14-00949,bulk density,36.9
14-00949,particle density,1.0739
14-00950,particle density,1.0699
14-00950,bulk density,36.6
14-00952,particle density,1.0746
14-00952,bulk density,40.0
14-01002,bulk density,38.9
14-01002,particle density,1.0734
14-01914,bulk density,29.3
14-01914,particle density,1.0974
14-03212,particle density,1.0951
14-03212,bulk density,27.9
14-03213,particle density,1.0955
14-03213,bulk density,27.8
14-03214,particle density,1.0958
14-03214,bulk density,27.8
14-03215,particle density,1.0953
14-03215,bulk density,27.5
14-03216,particle density,1.0965
14-03216,bulk density,28.1
14-03217,particle density,1.0955
14-03217,bulk density,29.0
14-03533,particle density,1.0952
14-03533,bulk density,30.6
14-03534,particle density,1.0962
14-03534,bulk density,30.5
14-03535,bulk density,29.9
14-03535,particle density,1.0966
14-10420,particle density,1.0747
14-10420,bulk density,29.0
14-10421,particle density,1.0742
14-10421,bulk density,30.1
14-14008,bulk density,41.0
14-14008,particle density,1.0715
14-14009,particle density,1.0702
14-14009,bulk density,40.6
14-14010,bulk density,37.9
14-14010,particle density,1.0701
14-14191,bulk density,29.3
14-14191,particle density,1.0958999999999999
14-14388,bulk density,30.7
14-14388,particle density,1.0735000000000001
14-14389,particle density,1.0665
14-14389,bulk density,28.2
14-14390,particle density,1.0688
14-14390,bulk density,27.1
14-14391,particle density,1.0685
14-14391,bulk density,28.1
14-14392,particle density,1.0686
14-14392,bulk density,29.3
14-14393,particle density,1.0678
14-14393,bulk density,27.5
14-15204,bulk density,37.5
14-15204,particle density,1.0731000000000002
15-00340,bulk density,30.1
15-00340,particle density,1.0682
15-00341,particle density,1.0692
15-00341,bulk density,31.1
15-00342,particle density,1.0723
15-00342,bulk density,32.0
15-00343,particle density,1.0758999999999999
15-00343,bulk density,33.0
15-01982,bulk density,27.3
15-01982,particle density,1.0873
15-02857,particle density,1.0723
15-02857,bulk density,37.4
15-03132,bulk density,29.1
15-03132,particle density,1.0920999999999998
15-03133,particle density,1.0924
15-03133,bulk density,27.0
15-08585,bulk density,37.7
15-08585,particle density,1.0779999999999998
15-08586,particle density,1.0657999999999999
15-08586,bulk density,37.7
15-08939,particle density,1.0684
15-08939,bulk density,38.0
15-09511,particle density,1.0918
15-09511,bulk density,27.6
15-09512,bulk density,29.7
15-09512,particle density,1.0928
15-09513,bulk density,30.3
15-09513,particle density,1.0885
16-00499,particle density,1.0734
16-00499,bulk density,36.0
16-00500,bulk density,35.7
16-00500,particle density,1.0735000000000001
16-00501,particle density,1.071
16-00501,bulk density,37.6
16-00502,particle density,1.0697999999999999
16-00502,bulk density,37.4
16-00813,particle density,1.1254
16-00813,bulk density,27.6
16-00814,particle density,1.1265
16-00814,bulk density,27.8
16-00815,particle density,1.1261999999999999
16-00815,bulk density,27.7
16-00818,particle density,1.1263999999999998
16-00818,bulk density,27.7
16-01850,particle density,1.0727
16-01850,bulk density,40.2
16-01851,bulk density,40.2
16-01851,particle density,1.0735999999999999
16-02269,bulk density,27.3
16-02269,particle density,1.0882
16-02576,particle density,1.0668
16-02576,bulk density,38.5
16-02577,particle density,1.0676999999999999
16-02577,bulk density,38.3
16-03228,bulk density,38.3
16-03228,particle density,1.0694
16-03232,bulk density,38.1
16-03232,particle density,1.0697
16-03613,particle density,1.1018
16-03613,bulk density,37.7
16-03614,bulk density,36.7
16-03614,particle density,1.0995
16-03844,particle density,1.0946
16-03844,bulk density,29.1
16-03907,particle density,1.0718999999999999
16-03907,bulk density,38.0
16-03908,bulk density,37.9
16-03908,particle density,1.0731000000000002
16-03909,particle density,1.0716999999999999
16-03909,bulk density,38.1
16-05223,bulk density,28.8
16-05223,particle density,1.0923
16-05484,particle density,1.1018
16-05484,bulk density,32.1
16-06765,particle density,1.1017000000000001
16-06765,bulk density,38.5
16-06766,particle density,1.1053
16-06766,bulk density,38.1
16-06767,bulk density,37.0
16-06767,particle density,1.1013
16-06768,particle density,0.0
16-06768,bulk density,37.8
16-06769,particle density,1.0988
16-06769,bulk density,37.6
16-06773,particle density,1.0977999999999999
16-06773,bulk density,35.3
16-07366,particle density,1.099
16-07366,bulk density,35.6
16-07367,particle density,1.0989
16-07367,bulk density,35.1
16-07368,particle density,1.0997
16-07368,bulk density,35.6
16-07369,particle density,1.1013
16-07369,bulk density,36.1
16-07370,particle density,1.1006
16-07370,bulk density,37.7
16-07371,particle density,1.1012
16-07371,bulk density,37.9
16-07372,bulk density,35.5
16-07372,particle density,1.0979
16-07373,particle density,1.0987
16-07373,bulk density,35.0
16-07374,bulk density,34.2
16-07374,particle density,1.0979
16-07375,particle density,1.1057000000000001
16-07375,bulk density,29.8
16-07376,particle density,1.1049
16-07376,bulk density,30.6
16-07380,bulk density,30.7
16-07380,particle density,1.105
16-08108,particle density,1.1037
16-08108,bulk density,32.2
16-08957,particle density,1.1049
16-08957,bulk density,31.2
16-08958,particle density,1.0987
16-08958,bulk density,34.4
16-09553,bulk density,41.2
16-09553,particle density,1.0868
16-09554,bulk density,41.1
16-09554,particle density,1.0869
16-09555,bulk density,40.9
16-09555,particle density,1.0924
16-09556,particle density,1.0922
16-09556,bulk density,41.0
16-09557,particle density,1.0918999999999999
16-09557,bulk density,41.3
16-11799,particle density,1.1061
16-11799,bulk density,38.9
16-11800,particle density,1.1048
16-11800,bulk density,38.8
16-13109,particle density,1.0965
16-13109,bulk density,36.7
16-13110,particle density,1.0962
16-13110,bulk density,36.6
16-13111,particle density,1.1061
16-13111,bulk density,38.0
16-13112,particle density,1.1068
16-13112,bulk density,37.3
16-13113,particle density,1.1059999999999999
16-13113,bulk density,37.9
16-13114,bulk density,36.7
16-13114,particle density,1.1066
16-13115,particle density,1.1061
16-13115,bulk density,37.5
16-13116,bulk density,37.3
16-13116,particle density,1.1026
16-13117,particle density,1.1067
16-13117,bulk density,29.8
16-13118,particle density,1.0977999999999999
16-13118,bulk density,33.5
16-13119,bulk density,33.3
16-13119,particle density,1.0998999999999999
16-13120,particle density,1.1
16-13120,bulk density,33.0
16-13121,particle density,1.0998
16-13121,bulk density,33.3
16-14618,particle density,1.0701
16-14618,bulk density,40.4
17-02376,particle density,1.1055000000000001
17-02376,bulk density,38.4
17-02377,bulk density,35.4
17-02377,particle density,1.0992
17-03568,particle density,1.0716
17-03568,bulk density,39.6
17-03938,particle density,1.0744
17-03938,bulk density,40.7
17-04563,particle density,1.1056
17-04563,bulk density,30.7
17-04564,particle density,1.1034000000000002
17-04564,bulk density,35.0
17-05109,bulk density,35.7
17-05109,particle density,1.0974
17-05110,particle density,1.0989
17-05110,bulk density,37.2
17-05196,particle density,1.0726
17-05196,bulk density,39.8
17-09367,bulk density,26.6
17-09367,particle density,1.0864
17-09479,particle density,1.0845
17-09479,bulk density,26.8
17-10693,particle density,1.0712000000000002
17-10693,bulk density,23.6
17-11015,particle density,1.0912
17-11015,bulk density,28.2
18-00750,bulk density,29.7
18-00750,particle density,1.0951
18-01301,particle density,1.0836999999999999
18-01301,bulk density,30.2
18-01594,bulk density,26.8
18-01594,particle density,1.0927
18-01771,particle density,1.0927
18-01771,bulk density,27.7
18-01772,bulk density,25.8
18-01772,particle density,1.0924
18-03014,particle density,1.0846
18-03014,bulk density,27.7
18-03467,bulk density,28.8
18-03467,particle density,1.0891
18-03934,bulk density,30.8
18-03934,particle density,1.0855000000000001
18-05236,particle density,1.0706
18-05236,bulk density,39.6
18-05237,bulk density,39.8
18-05237,particle density,1.071
18-05309,bulk density,27.6
18-05309,particle density,1.0918999999999999
18-05310,particle density,1.0920999999999998
18-05310,bulk density,25.5
18-05311,bulk density,25.7
18-05311,particle density,1.0918999999999999
18-05312,bulk density,28.4
18-05312,particle density,1.0903
18-05624,particle density,1.0917
18-05624,bulk density,24.7
18-05933,particle density,1.095
18-05933,bulk density,29.7
18-05948,particle density,1.1084
18-05948,bulk density,28.2
18-05974,bulk density,29.1
18-05974,particle density,1.0894
18-05975,particle density,1.0897000000000001
18-05975,bulk density,28.9
18-06053,particle density,1.0856
18-06053,bulk density,28.5
18-06159,particle density,1.0929
18-06159,bulk density,27.7
18-06161,particle density,1.0928
18-06161,bulk density,26.9
18-06746,bulk density,25.8
18-06746,particle density,1.0923
18-06805,bulk density,25.7
18-06805,particle density,1.0920999999999998
18-08308,particle density,1.0924
18-08308,bulk density,27.6
18-08902,particle density,1.0407
18-08902,bulk density,23.0
18-10478,particle density,1.0518999999999998
18-10478,bulk density,26.2
19-02206,particle density,1.0972
19-02206,bulk density,27.7
19-02207,particle density,1.097
19-02207,bulk density,26.7
19-02208,bulk density,28.1
19-02208,particle density,1.0986
19-02209,bulk density,25.4
19-02209,particle density,1.0923
19-02210,particle density,1.0922
19-02210,bulk density,27.7
19-02465,particle density,1.0728
19-02465,bulk density,32.8
19-03725,bulk density,27.5
19-03725,particle density,1.0842
19-03726,particle density,1.0913
19-03726,bulk density,28.1
19-03727,particle density,1.0922
19-03727,bulk density,28.3
19-03728,bulk density,28.3
19-03728,particle density,1.0893000000000002
19-03915,particle density,1.0989
19-03915,bulk density,30.8
19-07184,particle density,1.0913
19-07184,bulk density,28.1
19-07449,particle density,1.0705
19-07449,bulk density,29.1
19-0002049,bulk density,27.10022
19-0002049,particle density,1.0928
19-0002052,bulk density,27.41237
19-0002052,particle density,1.0929
19-0002053,bulk density,26.91293
19-0002053,particle density,1.0924
19-0002054,bulk density,27.78695
19-0002054,particle density,1.0934
19-0002055,bulk density,26.97536
19-0002055,particle density,1.0925
19-0002056,bulk density,27.4748
19-0002056,particle density,1.0925
19-0002057,bulk density,27.22508
19-0002057,particle density,1.0926
19-0002058,bulk density,28.0991
19-0002058,particle density,1.0929
19-0002061,bulk density,26.97536
19-0002061,particle density,1.0934
19-0002062,bulk density,27.84938
19-0002062,particle density,1.0933000000000002
19-0002064,bulk density,27.10022
19-0002064,particle density,1.0924
19-0002065,bulk density,27.59966
19-0002065,particle density,1.0931
19-0002066,bulk density,26.8505
19-0002066,particle density,1.0926
19-0002067,bulk density,27.28751
19-0002067,particle density,1.0931
19-0002068,bulk density,27.28751
19-0002068,particle density,1.0927
19-0002069,bulk density,26.28863
19-0002069,particle density,1.0925
19-0002070,bulk density,27.72452
19-0002070,particle density,1.0927
19-0002071,bulk density,26.60078
19-0002071,particle density,1.0920999999999998
19-0002159,bulk density,25.35218
19-0002159,particle density,1.0899999999999999
19-0002160,bulk density,24.54059
19-0002160,particle density,1.0903
19-0002161,bulk density,29.41013
19-0002161,particle density,1.0946
20-0001501,bulk density,26.41349
20-0001501,particle density,1.0992
20-0002506,bulk density,40.1
20-0002506,particle density,1.0802
20-0002507,bulk density,39.4
20-0002507,particle density,1.0853000000000002
20-0002508,bulk density,37.3
20-0002508,particle density,1.0884
20-0003041,bulk density,27.9
20-0003041,particle density,1.0912
20-0003042,bulk density,27.9
20-0003042,particle density,1.0911
20-0003395,bulk density,27.5
20-0003395,particle density,1.0893000000000002
20-0003396,bulk density,28.5
20-0003396,particle density,1.0896
20-0003698,bulk density,24.60302
20-0003698,particle density,1.0899999999999999
20-0003700,bulk density,25.9
20-0003700,particle density,1.0907
20-0003701,bulk density,27.5
20-0003701,particle density,1.093
20-0003702,bulk density,27.8
20-0003702,particle density,1.0939999999999999
20-0003703,bulk density,23.85386
20-0003703,particle density,1.0859
20-0003704,bulk density,26.8
20-0003704,particle density,1.0869
20-0003705,bulk density,27.0
20-0003705,particle density,1.0885
20-0003706,bulk density,27.3
20-0003706,particle density,1.0907
20-0003707,bulk density,27.3
20-0003707,particle density,1.0913
20-0003708,bulk density,27.5
20-0003708,particle density,1.0926
20-0003709,bulk density,27.2
20-0003709,particle density,1.0941
20-0003710,bulk density,27.3
20-0003710,particle density,1.088
20-0003711,bulk density,26.9
20-0003711,particle density,1.0897999999999999
20-0003712,bulk density,27.2
20-0003712,particle density,1.0905
20-0004383,bulk density,28.9
20-0004383,particle density,1.0918
20-0004385,bulk density,28.0
20-0004385,particle density,1.0968
20-0005881,bulk density,28.0
20-0005881,particle density,1.0889
20-0008727,bulk density,25.4
20-0008727,particle density,1.0925
20-0008728,bulk density,26.9
20-0008728,particle density,1.0918999999999999
20-0008729,bulk density,26.5
20-0008729,particle density,1.0926
20-0008730,bulk density,27.0
20-0008730,particle density,1.0923
21-0000444,bulk density,27.03779
21-0000444,particle density,1.0895000000000001
21-0000445,bulk density,26.66321
21-0000445,particle density,1.0894
21-0000446,bulk density,27.34994
21-0000446,particle density,1.0891
21-0000447,bulk density,27.66209
21-0000447,particle density,1.0893000000000002
21-0000448,bulk density,27.97424
21-0000448,particle density,1.0896
21-0000449,bulk density,26.35106
21-0000449,particle density,1.0888
21-0000450,bulk density,28.22396
21-0000450,particle density,1.0896
21-0000641,bulk density,34.435745
21-0000641,particle density,1.0957
21-0000645,bulk density,35.4814475
21-0000645,particle density,1.0958999999999999
21-0000646,bulk density,35.3253725
21-0000646,particle density,1.0958999999999999
21-0001655,bulk density,39.1
21-0001655,particle density,1.0768
21-0002494,bulk density,27.7
21-0002494,particle density,1.0876000000000001
21-0002825,bulk density,26.8
21-0002825,particle density,1.0856
21-0003049,bulk density,27.9
21-0003049,particle density,1.0903
21-0003050,bulk density,27.5
21-0003050,particle density,1.0908
21-0003518,bulk density,26.2
21-0003518,particle density,1.0945
21-0004214,bulk density,29.9
21-0004214,particle density,1.0937000000000001
21-0004300,bulk density,27.3
21-0004300,particle density,1.1101
21-0004611,bulk density,27.6
21-0004611,particle density,1.0897000000000001
21-0004611,bulk density,27.5
21-0004611,bulk density,27.5
21-0004612,bulk density,27.3
21-0004612,particle density,1.0893000000000002
21-0004612,bulk density,27.5
21-0004612,bulk density,28.0
21-0005148,bulk density,36.7
21-0005148,particle density,1.0939
21-0005149,bulk density,36.2
21-0005149,particle density,1.093
21-0005150,bulk density,36.7
21-0005150,particle density,1.0939
21-0005151,bulk density,36.3
21-0005151,particle density,1.0939
21-0005266,bulk density,38.4
21-0005266,particle density,1.0681
21-0008386,bulk density,26.944145
21-0008386,particle density,1.0859
21-0008387,bulk density,26.819285
21-0008387,particle density,1.0867
21-0008388,bulk density,27.006575
21-0008388,particle density,1.0862
21-0008389,bulk density,26.444705
21-0008389,particle density,1.0862
21-0009202,bulk density,26.5
21-0009202,particle density,1.0855000000000001
21-0009203,bulk density,25.7
21-0009203,particle density,1.0877
21-0009204,bulk density,26.8
21-0009204,particle density,1.0884
21-0009205,bulk density,26.9
21-0009205,particle density,1.088
21-0009206,bulk density,26.1
21-0009206,particle density,1.0892
21-0009403,bulk density,28.0991
21-0009403,particle density,1.0888
22-0002184,bulk density,25.0
22-0002184,particle density,1.0889
22-0002184,bulk density,24.9
22-0002348,bulk density,24.9
22-0002348,particle density,1.0849
22-0002348,bulk density,24.8
22-0004617,bulk density,27.3
22-0004617,particle density,1.0964
22-0004617,bulk density,27.2
22-0006184,bulk density,41.8
22-0006184,particle density,1.108
22-0006866,bulk density,39.3
22-0006866,particle density,1.1073
22-0007312,bulk density,27.5
22-0007312,particle density,1.0897999999999999
22-0007477,bulk density,26.9
22-0007477,particle density,1.0901
22-0007477,bulk density,27.0
22-0007478,bulk density,27.1
22-0007478,particle density,1.0897999999999999
22-0007478,bulk density,27.1
22-0007498,bulk density,27.3
22-0007498,particle density,1.089
22-0007499,bulk density,27.1
22-0007499,particle density,1.0891
22-0007500,bulk density,27.3
22-0007500,particle density,1.0897000000000001
22-0007501,bulk density,27.2
22-0007501,particle density,1.0894
22-0007502,bulk density,27.2
22-0007502,particle density,1.0892
