,massflow,pressure,temperature,ambient_temperature
2022-04-04 12:32:00,-0.0001762633,2213.3035,76.26135,21.7706
2022-04-04 12:33:00,9.573487e-05,2236.0027,74.42859,20.819427
2022-04-04 12:34:00,-6.725388e-05,2191.5652,75.42389,21.926575
2022-04-04 12:35:00,-0.0002696525,2215.5166,74.86478,21.414185
2022-04-04 12:36:00,0.00016606066,2190.629,74.778656,22.19107
2022-04-04 12:37:00,-0.00028061852,2193.1738,74.74173,20.5448
2022-04-04 12:38:00,0.0002109117,2178.0027,75.15225,21.633972
2022-04-04 12:39:00,0.00029212498,2181.4993,73.23416,21.403687
2022-04-04 12:40:00,0.0004990813,2159.316,74.67609,21.30252
2022-04-04 12:41:00,-0.00016708212,2173.8218,74.19812,21.420624
2022-04-04 12:42:00,-0.00031614726,2131.3582,73.26843,20.46524
2022-04-04 12:43:00,0.00014952486,2150.5986,72.928986,20.96231
2022-04-04 12:44:00,-0.00029038213,2162.3872,72.7229,21.536469
2022-04-04 12:45:00,-0.00024171668,2151.3972,72.307465,22.123901
2022-04-04 12:46:00,-0.00015276707,2109.1064,72.71442,21.811646
2022-04-04 12:47:00,1.9007566e-05,2142.2544,71.786224,20.844574
2022-04-04 12:48:00,0.00028851815,2124.1057,71.10605,21.642883
2022-04-04 12:49:00,-0.00014862706,2105.7683,71.5163,20.923218
2022-04-04 12:50:00,5.651739e-05,2128.5505,71.28812,21.480988
2022-04-04 12:51:00,0.00020995091,2093.2551,70.50122,20.802185
2022-04-04 12:52:00,-0.00058948185,2088.0164,71.03653,20.668793
2022-04-04 12:53:00,-6.945875e-05,2118.103,71.05417,21.25476
2022-04-04 12:54:00,6.130063e-05,2081.2786,69.51907,21.499756
2022-04-04 12:55:00,-0.00026438702,2073.2827,69.06311,20.992188
2022-04-04 12:56:00,3.8903243e-05,2083.5728,69.42139,20.95935
2022-04-04 12:57:00,0.00015198445,2078.2544,69.16855,21.119537
2022-04-04 12:58:00,0.00014809745,2069.5112,69.46753,20.315613
2022-04-04 12:59:00,-0.0001575221,2051.3982,68.313965,20.369446
2022-04-04 13:00:00,0.00015591894,-3.3265414,40.00064,21.351044
2022-04-04 13:01:00,-0.0002416946,-4.5649047,29.012695,20.50705
2022-04-04 13:02:00,-0.00018270014,-0.510535,23.881104,21.53238
2022-04-04 13:03:00,0.0002006327,10.490914,22.46286,21.070892
2022-04-04 13:04:00,8.99577e-05,-23.356033,20.989868,20.647003
2022-04-04 13:05:00,-2.9382643e-05,6.915343,21.106781,21.985962
2022-04-04 13:06:00,0.00028224906,9.280948,20.756348,21.52481
2022-04-04 13:07:00,9.5242365e-05,14.329622,21.052002,20.731354
2022-04-04 13:08:00,0.0003150622,6.677002,21.057465,21.821594
2022-04-04 13:09:00,-0.00033195253,12.035285,21.299652,21.098694
2022-04-04 13:10:00,0.00037872492,0.3982158,20.7417,20.07074
2022-04-04 13:11:00,-0.0007793491,5.950587,21.136444,20.90039
2022-04-04 13:12:00,-0.0004028604,-10.436506,21.347076,21.975311
2022-04-04 13:13:00,-6.8479865e-05,-16.688314,21.957367,21.63327
2022-04-04 13:14:00,9.846519e-05,1.1314093,21.02594,20.29181
2022-04-04 13:15:00,-0.0004522151,4.734292,21.473907,21.283325
2022-04-04 13:16:00,-0.000317855,3.853578,21.582367,21.472626
2022-04-04 13:17:00,-0.00040653927,-26.48039,22.161133,21.461914
2022-04-04 13:18:00,-0.00019508835,1.8743166,21.365784,21.76828
2022-04-04 13:19:00,0.0004013217,-13.170832,21.45111,21.42215
2022-04-04 13:20:00,0.00051848835,-8.836767,21.92102,21.64801
2022-04-04 13:21:00,-1.4715926e-05,-2.770459,21.133606,21.030823
2022-04-04 13:22:00,-9.0533395e-05,11.245044,21.259827,21.355896
2022-04-04 13:23:00,0.00042791635,0.09680477,21.105042,22.042511
2022-04-04 13:24:00,-0.00036216408,-28.047855,21.696075,21.078308
2022-04-04 13:25:00,0.00015533058,-2.3219316,20.761017,21.396362
2022-04-04 13:26:00,0.00044438738,-6.167314,20.91153,21.530914
2022-04-04 13:27:00,-0.00027806658,11.527569,21.100006,20.701477
2022-04-04 13:28:00,0.00013541072,14.789841,20.209839,20.977203
2022-04-04 13:29:00,0.00023924671,8.644258,21.006104,21.59732
2022-04-04 13:30:00,-0.00024836735,7.3666053,21.363556,21.52478
2022-04-04 13:31:00,-0.0005754691,-16.965282,20.873627,20.330627
2022-04-04 13:32:00,-0.00019436413,-30.570148,21.401245,21.756348
2022-04-04 13:33:00,0.00015075039,12.002988,20.836273,21.753357
2022-04-04 13:34:00,-0.00043100928,-15.711773,21.410858,21.608551
2022-04-04 13:35:00,0.00017518102,0.08778558,20.67566,20.701477
2022-04-04 13:36:00,0.0005432214,7.64267,20.736084,21.291504
2022-04-04 13:37:00,0.00067389186,11.443686,21.196014,21.85376
2022-04-04 13:38:00,-0.00022120071,19.412886,21.181213,22.10205
2022-04-04 13:39:00,0.00018542547,2.5936642,21.51361,21.746948
2022-04-04 13:40:00,6.951515e-05,-13.357871,21.400635,21.020721
2022-04-04 13:41:00,-0.00012946306,-10.596905,21.082367,21.686218
